"행정구역별(시도)","다문화가구 구성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","다문화가구 구성별",총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처,총 다문화 가구_계,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용 건물 내 주택,주택이외의 거처
"인천광역시","계",22276,19537,3931,8788,668,5940,210,2739,24084,20806,3884,9762,751,6178,231,3278,25449,21773,3918,10414,851,6364,226,3676,27075,22836,3910,11257,932,6501,236,4239,28657,24047,3946,12279,1012,6579,231,4610
"인천광역시","내국인(귀화)",4692,3697,950,1300,162,1234,51,995,5151,3987,974,1469,182,1306,56,1164,5717,4399,977,1702,216,1446,58,1318,6315,4813,1045,1953,237,1517,61,1502,6732,5135,1072,2151,243,1613,56,1597
"인천광역시","내국인(출생)+내국인(귀화)",5026,4698,591,2386,145,1545,31,328,5278,4879,584,2541,169,1547,38,399,5545,5093,598,2731,184,1545,35,452,5774,5265,583,2920,192,1537,33,509,6197,5645,611,3231,207,1569,27,552
"인천광역시","내국인(출생)+외국인(결혼이민자)",7557,6901,1201,3445,203,1989,63,656,7970,7225,1174,3720,220,2039,72,745,8366,7472,1149,3952,255,2049,67,894,8356,7335,961,4060,273,1984,57,1021,8411,7363,950,4208,287,1861,57,1048
"인천광역시","내국인(출생)+다문화자녀",1742,1655,272,911,42,411,19,87,2096,1954,301,1110,56,465,22,142,2308,2154,358,1150,60,560,26,154,2447,2283,362,1232,81,577,31,164,2608,2415,347,1345,90,602,31,193
"인천광역시","내국인(귀화)+외국인(결혼이민자)",1619,1217,233,476,77,424,7,402,1843,1358,226,591,80,449,12,485,2077,1471,261,622,101,474,13,606,2200,1526,212,710,95,497,12,674,2598,1798,226,914,120,523,15,800
"인천광역시","기타",1640,1369,684,270,39,337,39,271,1746,1403,625,331,44,372,31,343,1436,1184,575,257,35,290,27,252,1983,1614,747,382,54,389,42,369,2111,1691,740,430,65,411,45,420
"광주광역시","계",6836,6723,2439,4035,96,72,81,113,7347,7224,2543,4415,109,76,81,123,7742,7600,2602,4721,112,79,86,142,8095,7947,2660,4992,128,89,78,148,8455,8266,2707,5225,150,96,88,189
"광주광역시","내국인(귀화)",879,859,437,387,16,12,7,20,919,890,436,415,16,13,10,29,957,927,449,447,9,12,10,30,1065,1037,472,522,14,19,10,28,1200,1164,502,609,22,17,14,36
"광주광역시","내국인(출생)+내국인(귀화)",1787,1773,463,1252,26,17,15,14,1957,1942,475,1400,36,19,12,15,2026,2010,479,1460,36,21,14,16,2102,2087,469,1552,28,20,18,15,2199,2183,487,1616,39,19,22,16
"광주광역시","내국인(출생)+외국인(결혼이민자)",2701,2652,854,1688,45,28,37,49,2833,2782,858,1809,41,34,40,51,2921,2859,820,1920,52,31,36,62,2732,2683,680,1894,58,26,25,49,2679,2616,639,1873,57,24,23,63
"광주광역시","내국인(출생)+다문화자녀",772,762,236,500,5,11,10,10,827,820,280,516,8,7,9,7,939,927,309,594,7,7,10,12,1009,993,347,613,14,10,9,16,1061,1041,322,683,17,9,10,20
"광주광역시","내국인(귀화)+외국인(결혼이민자)",214,207,92,108,X,X,X,7,260,254,113,132,6,X,X,6,309,304,127,167,X,X,6,5,325,319,117,192,6,X,X,6,344,337,125,199,6,X,X,7
"광주광역시","기타",483,470,357,100,X,X,8,13,551,536,381,143,X,X,7,15,590,573,418,133,X,8,10,17,862,828,575,219,8,14,12,34,972,925,632,245,9,24,15,47
"대전광역시","계",6607,6493,2491,3143,146,623,90,114,6942,6843,2641,3333,151,627,91,99,7407,7287,2841,3552,145,648,101,120,7738,7603,2930,3697,172,677,127,135,7957,7816,2967,3878,159,684,128,141
"대전광역시","내국인(귀화)",778,758,368,301,10,66,13,20,810,792,390,307,16,71,8,18,870,848,404,344,12,78,10,22,957,938,451,369,17,84,17,19,1010,993,460,405,22,84,22,17
"대전광역시","내국인(출생)+내국인(귀화)",1738,1728,578,901,47,182,20,10,1831,1821,587,962,51,198,23,10,1919,1904,590,1029,54,205,26,15,2010,1993,612,1076,59,215,31,17,2100,2078,618,1152,55,224,29,22
"대전광역시","내국인(출생)+외국인(결혼이민자)",2814,2757,962,1444,72,245,34,57,2884,2835,1009,1483,65,244,34,49,3008,2952,1027,1585,60,245,35,56,2800,2757,863,1556,60,240,38,43,2700,2655,815,1530,49,230,31,45
"대전광역시","내국인(출생)+다문화자녀",745,738,259,369,11,87,12,7,834,825,298,430,11,75,11,9,905,898,356,442,14,73,13,7,1007,991,365,503,25,78,20,16,1080,1066,387,560,22,79,18,14
"대전광역시","내국인(귀화)+외국인(결혼이민자)",129,125,60,49,X,9,5,X,168,167,79,71,X,8,5,X,183,181,78,83,X,12,X,X,192,187,78,91,X,14,X,5,212,206,73,109,X,19,X,6
"대전광역시","기타",403,387,264,79,X,34,6,16,415,403,278,80,X,31,10,12,522,504,386,69,X,35,13,18,772,737,561,102,7,46,21,35,855,818,614,122,7,48,27,37
"울산광역시","계",6558,6418,2618,3167,108,424,101,140,6867,6715,2514,3534,113,434,120,152,7079,6901,2435,3784,113,446,123,178,7268,7086,2446,3910,116,493,121,182,7402,7219,2445,3997,132,505,140,183
"울산광역시","내국인(귀화)",855,826,487,253,15,54,17,29,862,815,444,294,13,47,17,47,937,888,449,360,14,48,17,49,1009,964,465,402,15,63,19,45,1042,999,467,424,20,69,19,43
"울산광역시","내국인(출생)+내국인(귀화)",1698,1678,456,1060,29,118,15,20,1755,1733,429,1133,34,121,16,22,1854,1829,431,1196,36,148,18,25,1882,1859,429,1218,36,161,15,23,1953,1928,452,1249,40,166,21,25
"울산광역시","내국인(출생)+외국인(결혼이민자)",2532,2481,880,1345,43,174,39,51,2645,2597,837,1491,40,177,52,48,2680,2621,804,1585,36,153,43,59,2483,2424,649,1541,34,162,38,59,2451,2400,645,1520,34,151,50,51
"울산광역시","내국인(출생)+다문화자녀",661,648,256,325,14,40,13,13,757,740,270,396,14,48,12,17,803,779,293,402,16,55,13,24,929,908,342,476,20,56,14,21,977,948,329,514,22,66,17,29
"울산광역시","내국인(귀화)+외국인(결혼이민자)",268,262,128,109,5,18,X,6,308,303,141,130,6,18,8,5,332,324,145,144,6,18,11,8,321,314,127,149,7,24,7,7,358,349,137,164,11,30,7,9
"울산광역시","기타",544,523,411,75,X,20,15,21,540,527,393,90,6,23,15,13,473,460,313,97,5,24,21,13,644,617,434,124,X,27,28,27,621,595,415,126,5,23,26,26
"세종특별자치시","계",1397,1367,408,897,21,27,14,30,1535,1507,395,1051,18,29,14,28,1656,1621,411,1153,22,21,14,35,1781,1738,411,1252,26,32,17,43,1908,1870,448,1345,24,35,18,38
"세종특별자치시","내국인(귀화)",161,156,50,96,X,X,5,5,188,182,56,115,X,X,5,6,195,187,53,125,X,X,X,8,216,208,60,137,X,X,5,8,239,231,65,152,5,6,X,8
"세종특별자치시","내국인(출생)+내국인(귀화)",330,327,89,222,5,9,X,X,350,346,84,247,6,8,X,X,385,377,94,266,9,7,X,8,445,435,105,312,8,9,X,10,485,472,109,345,8,8,X,13
"세종특별자치시","내국인(출생)+외국인(결혼이민자)",628,617,159,437,10,7,X,11,680,670,156,497,6,7,X,10,746,734,158,560,6,6,X,12,725,716,125,566,8,12,5,9,739,732,125,588,6,10,X,7
"세종특별자치시","내국인(출생)+다문화자녀",152,148,50,94,X,X,X,X,175,173,45,123,X,X,X,X,178,176,48,122,X,X,X,X,210,204,48,149,X,X,X,6,235,232,59,166,X,X,X,X
"세종특별자치시","내국인(귀화)+외국인(결혼이민자)",47,46,14,30,X,X,X,X,60,59,17,38,X,X,X,X,76,75,19,52,X,X,X,X,66,64,17,42,X,X,X,X,76,74,19,51,X,X,X,X
"세종특별자치시","기타",79,73,46,18,X,8,X,6,82,77,37,31,X,8,X,5,76,72,39,28,X,X,X,X,119,111,56,46,X,6,X,8,134,129,71,43,X,8,6,5
"경기도","계",99008,94620,31637,39534,2690,19331,1428,4388,105779,101143,31281,44867,2690,20895,1410,4636,110592,105229,29483,49805,2902,21707,1332,5363,117478,111449,30429,53445,3129,23007,1439,6029,122458,115936,30757,56604,3233,23886,1456,6522
"경기도","내국인(귀화)",20551,19261,8302,5611,464,4515,369,1290,21664,20327,8103,6559,448,4872,345,1337,23931,22334,8231,7826,520,5418,339,1597,26319,24514,8774,8833,603,5927,377,1805,27277,25382,8757,9409,622,6190,404,1895
"경기도","내국인(출생)+내국인(귀화)",21272,20836,4683,10730,643,4589,191,436,22384,21913,4601,11653,623,4853,183,471,23445,22903,4415,12649,643,5011,185,542,24655,24030,4451,13495,669,5214,201,625,26044,25381,4521,14448,701,5494,217,663
"경기도","내국인(출생)+외국인(결혼이민자)",33039,31608,8496,15959,997,5764,392,1431,34791,33312,8357,17478,961,6138,378,1479,37695,35864,8380,19686,1042,6377,379,1831,37162,35324,7378,20070,1076,6477,323,1838,37697,35741,7301,20644,1113,6359,324,1956
"경기도","내국인(출생)+다문화자녀",7599,7389,1920,3923,248,1200,98,210,9097,8825,2111,4977,286,1338,113,272,9905,9572,2267,5308,327,1549,121,333,10860,10501,2545,5840,364,1621,131,359,11512,11092,2640,6220,370,1733,129,420
